onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	0	catch_trial	7	bank	direction	13	left	1.4106	1
21	24	study_trial	8	subway	n/a	0	n/a	0	0
51	24	study_trial	6	door	n/a	0	n/a	0	0
81	0	catch_trial	8	subway	destination	65	subway	2.1214	1
105	24	study_trial	6	door	n/a	0	n/a	0	0
135	24	study_trial	5	truck	n/a	0	n/a	0	0
165	24	study_trial	8	subway	n/a	0	n/a	0	0
195	24	study_trial	5	truck	n/a	0	n/a	0	0
225	24	study_trial	7	bank	n/a	0	n/a	0	0
255	24	study_trial	7	bank	n/a	0	n/a	0	0
