onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	8	tree	n/a	0	n/a	0	0
39	24	study_trial	6	tree	n/a	0	n/a	0	0
69	0	catch_trial	6	tree	direction	52	left	1.4686	1
90	24	study_trial	7	mail box	n/a	0	n/a	0	0
120	24	study_trial	5	mail box	n/a	0	n/a	0	0
150	0	catch_trial	6	tree	direction	26	left	1.6004	1
165	24	study_trial	5	mail box	n/a	0	n/a	0	0
195	24	study_trial	8	tree	n/a	0	n/a	0	0
225	24	study_trial	6	tree	n/a	0	n/a	0	0
255	24	study_trial	7	mail box	n/a	0	n/a	0	0
