onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	5	mail box	n/a	0	n/a	0	0
39	24	study_trial	6	tree	n/a	0	n/a	0	0
69	0	catch_trial	8	tree	direction	52	right	2.3304	1
90	24	study_trial	5	mail box	n/a	0	n/a	0	0
120	24	study_trial	8	tree	n/a	0	n/a	0	0
150	24	study_trial	6	tree	n/a	0	n/a	0	0
180	0	catch_trial	6	tree	destination	26	tree	2.5117	1
195	24	study_trial	7	mail box	n/a	0	n/a	0	0
225	24	study_trial	8	tree	n/a	0	n/a	0	0
255	24	study_trial	7	mail box	n/a	0	n/a	0	0
