onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	1	nail salon	n/a	0	n/a	0	0
39	24	study_trial	4	call box	n/a	0	n/a	0	0
69	24	study_trial	2	restaurant	n/a	0	n/a	0	0
99	0	catch_trial	4	call box	direction	65	left	1.9593	0
123	24	study_trial	4	call box	n/a	0	n/a	0	0
153	24	study_trial	3	car	n/a	0	n/a	0	0
183	24	study_trial	1	nail salon	n/a	0	n/a	0	0
213	24	study_trial	3	car	n/a	0	n/a	0	0
243	24	study_trial	2	restaurant	n/a	0	n/a	0	0
273	0	catch_trial	4	call box	destination	13	car	2.7637	0
