onset	duration	route_number	destination	pic_num	segment	response	response_time	response_type	hits
1	2.8719	3	car	24	1	car	2.8719	target	1
3.8719	1.3276	4	call box	44	1	call box	1.3276	target	1
5.1995	1.845	1	nail salon	24	1	nail salon	1.845	target	1
7.0446	10.8228	2	restaurant	84	2	restaurant	10.8228	target	1
17.8673	8.2576	2	restaurant	54	1	nail salon	8.2576	other	0
26.1249	5.8276	3	car	64	1	car	5.8276	target	1
31.9525	5.9852	4	call box	34	1	call box	5.9852	target	1
37.9377	8.2476	1	nail salon	14	1	nail salon	8.2476	target	1
46.1853	10.159	2	restaurant	64	1	nail salon	10.159	other	0
56.3443	1.4175	1	nail salon	4	1	nail salon	1.4175	target	1
57.7618	5.1526	4	call box	94	2	call box	5.1526	target	1
62.9144	2.4526	3	car	84	2	car	2.4526	target	1
65.3669	1.71	3	car	44	1	car	1.71	target	1
67.0769	7.8753	1	nail salon	44	1	nail salon	7.8753	target	1
74.9521	2.2725	4	call box	84	2	call box	2.2725	target	1
77.2246	4.0276	2	restaurant	24	1	restaurant	4.0276	target	1
81.2522	11.0816	4	call box	24	1	call box	11.0816	target	1
92.3338	6.8175	3	car	74	1	car	6.8175	target	1
99.1513	2.2611	1	nail salon	34	1	nail salon	2.2611	target	1
101.4124	2.2389	2	restaurant	94	2	restaurant	2.2389	target	1
103.6513	13.1515	3	car	54	1	call box	13.1515	other	0
116.8028	9.5514	1	nail salon	54	1	restaurant	9.5514	other	0
126.3543	5.7038	2	restaurant	34	1	restaurant	5.7038	target	1
132.0581	4.5676	4	call box	74	1	call box	4.5676	target	1
136.6257	4.3989	3	car	34	1	car	4.3989	target	1
141.0246	4.8151	4	call box	14	1	call box	4.8151	target	1
145.8397	1.4174	2	restaurant	14	1	restaurant	1.4174	target	1
147.2571	6.1313	1	nail salon	64	1	restaurant	6.1313	other	0
153.3884	6.4238	2	restaurant	44	1	nail salon	6.4238	other	0
159.8122	1.6876	3	car	94	2	call box	1.6876	other	0
161.4998	6.5253	4	call box	54	1	call box	6.5253	target	1
168.0251	3.0711	1	nail salon	94	2	nail salon	3.0711	target	1
171.0962	6.5927	2	restaurant	4	1	restaurant	6.5927	target	1
177.6888	5.0738	3	car	14	1	car	5.0738	target	1
182.7626	4.8038	1	nail salon	74	1	nail salon	4.8038	target	1
187.5664	4.9274	4	call box	64	1	call box	4.9274	target	1
192.4938	1.89	2	restaurant	74	1	restaurant	1.89	target	1
194.3838	1.4962	1	nail salon	84	2	nail salon	1.4962	target	1
195.88	2.7451	3	car	4	1	car	2.7451	target	1
198.6252	1.08	4	call box	4	1	car	1.08	other	0
