onset	duration	route_number	destination	pic_num	segment	response	response_time	response_type	hits
1	2.0782	1	jewelry store	64	1	car	2.0782	competitor	0
3.0782	1.464	2	car	24	1	car	1.464	target	1
4.5421	1.6879	3	jewelry store	4	1	car	1.6879	competitor	0
6.23	1.72	4	car	94	2	car	1.72	target	1
7.95	2.104	4	car	64	1	jewelry store	2.104	competitor	0
10.054	3.6	3	jewelry store	34	1	jewelry store	3.6	target	1
13.654	19.7841	1	jewelry store	44	1	jewelry store	19.7841	target	1
33.438	4.112	2	car	64	1	car	4.112	target	1
37.5501	7.208	3	jewelry store	14	1	jewelry store	7.208	target	1
44.7581	3.2	4	car	14	1	car	3.2	target	1
47.9581	6.7681	1	jewelry store	54	1	car	6.7681	competitor	0
54.7261	3.4	2	car	14	1	car	3.4	target	1
58.1261	2.8159	3	jewelry store	54	1	jewelry store	2.8159	target	1
60.942	4.4479	1	jewelry store	94	2	jewelry store	4.4479	target	1
65.3899	5.016	2	car	44	1	car	5.016	target	1
70.4059	2.808	4	car	24	1	jewelry store	2.808	competitor	0
73.2139	3.128	1	jewelry store	34	1	jewelry store	3.128	target	1
76.3419	8.4	3	jewelry store	44	1	jewelry store	8.4	target	1
84.7419	6.0639	4	car	84	1	jewelry store	6.0639	competitor	0
90.8058	2.048	2	car	94	2	car	2.048	target	1
92.8538	4.976	4	car	44	1	car	4.976	target	1
97.8298	3.816	1	jewelry store	24	1	jewelry store	3.816	target	1
101.6457	3.7679	2	car	54	1	jewelry store	3.7679	competitor	0
105.4137	12.992	3	jewelry store	74	1	jewelry store	12.992	target	1
118.4056	4.784	3	jewelry store	94	2	jewelry store	4.784	target	1
123.1896	4.44	2	car	74	1	car	4.44	target	1
127.6296	4.52	1	jewelry store	4	1	jewelry store	4.52	target	1
132.1496	5.0879	4	car	4	1	car	5.0879	target	1
137.2375	5.36	1	jewelry store	74	1	jewelry store	5.36	target	1
142.5975	3.072	3	jewelry store	24	1	jewelry store	3.072	target	1
145.6695	20.9279	2	car	84	1	car	20.9279	target	1
166.5975	2.7759	4	car	74	1	jewelry store	2.7759	competitor	0
169.3734	2.856	4	car	54	1	car	2.856	target	1
172.2294	1.6	2	car	34	1	car	1.6	target	1
173.8293	3.6959	3	jewelry store	84	1	car	3.6959	competitor	0
177.5253	10.7599	1	jewelry store	14	1	car	10.7599	competitor	0
188.2852	7.632	4	car	34	1	car	7.632	target	1
195.9172	1.7921	1	jewelry store	84	1	jewelry store	1.7921	target	1
197.7093	3.92	2	car	4	1	car	3.92	target	1
201.6293	8.232	3	jewelry store	64	1	car	8.232	competitor	0
