onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	0	catch_trial	8	subway	direction	13	n/a	0	0
21	24	study_trial	5	truck	n/a	0	n/a	0	0
51	24	study_trial	8	subway	n/a	0	n/a	0	0
81	24	study_trial	6	door	n/a	0	n/a	0	0
111	24	study_trial	6	door	n/a	0	n/a	0	0
141	24	study_trial	7	bank	n/a	0	n/a	0	0
171	24	study_trial	7	bank	n/a	0	n/a	0	0
201	24	study_trial	5	truck	n/a	0	n/a	0	0
231	24	study_trial	8	subway	n/a	0	n/a	0	0
261	0	catch_trial	8	subway	direction	65	left	1.9004	1
