onset	duration	route_number	destination	pic_num	segment	response	response_time	response_type	hits
1	7.1079	5	mail box	44	1	mail box	7.1079	target	1
8.1079	1.512	6	tree	54	1	tree	1.512	target	1
9.6199	6.104	7	mail box	94	2	mail box	6.104	target	1
15.7239	4.008	8	tree	64	1	tree	4.008	target	1
19.7319	1.8879	5	mail box	54	1	tree	1.8879	competitor	0
21.6198	1.536	6	tree	44	1	tree	1.536	target	1
23.1558	3.1681	8	tree	24	1	mail box	3.1681	competitor	0
26.3239	3.544	7	mail box	14	1	tree	3.544	competitor	0
29.8678	3.3679	6	tree	94	2	tree	3.3679	target	1
33.2358	3.5359	8	tree	54	1	mail box	3.5359	competitor	0
36.7717	3.7361	5	mail box	94	2	mail box	3.7361	target	1
40.5078	0.71993	7	mail box	34	1	mail box	0.71993	target	1
41.2277	5.536	5	mail box	34	1	mail box	5.536	target	1
46.7636	6.016	8	tree	44	1	tree	6.016	target	1
52.7797	5.976	6	tree	14	1	mail box	5.976	competitor	0
58.7557	8.1359	7	mail box	54	1	mail box	8.1359	target	1
66.8916	8.512	8	tree	14	1	tree	8.512	target	1
75.4036	2.896	7	mail box	74	1	mail box	2.896	target	1
78.2996	1.592	6	tree	34	1	tree	1.592	target	1
79.8916	3.6319	5	mail box	64	1	mail box	3.6319	target	1
83.5235	2.7919	7	mail box	64	1	tree	2.7919	competitor	0
86.3154	2.344	5	mail box	84	2	tree	2.344	competitor	0
88.6594	4.136	8	tree	34	1	mail box	4.136	competitor	0
92.7954	1.968	6	tree	24	1	mail box	1.968	competitor	0
94.7634	5.256	7	mail box	84	2	tree	5.256	competitor	0
100.0193	6.2801	6	tree	4	1	mail box	6.2801	competitor	0
106.2995	6.3359	5	mail box	4	1	mail box	6.3359	target	1
112.6354	6.104	8	tree	84	2	mail box	6.104	competitor	0
118.7394	11.672	8	tree	74	1	tree	11.672	target	1
130.4114	1.904	6	tree	64	1	mail box	1.904	competitor	0
132.3154	10.28	7	mail box	4	1	tree	10.28	competitor	0
142.5954	1.592	5	mail box	24	1	mail box	1.592	target	1
144.1874	4.976	5	mail box	14	1	tree	4.976	competitor	0
149.1633	8	6	tree	74	1	mail box	8	competitor	0
157.1633	8.776	7	mail box	24	1	tree	8.776	competitor	0
165.9393	5.44	8	tree	4	1	mail box	5.44	competitor	0
171.3793	8.664	5	mail box	74	1	tree	8.664	competitor	0
180.0433	2.6479	7	mail box	44	1	tree	2.6479	competitor	0
182.6912	6.744	8	tree	94	2	mail box	6.744	competitor	0
189.4352	1.8239	6	tree	84	2	tree	1.8239	target	1
