onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	1	jewelry store	n/a	0	n/a	0	0
39	24	study_trial	2	car	n/a	0	n/a	0	0
69	0	catch_trial	2	car	destination	26	car	1.831	1
84	24	study_trial	4	car	n/a	0	n/a	0	0
114	24	study_trial	4	car	n/a	0	n/a	0	0
144	24	study_trial	3	jewelry store	n/a	0	n/a	0	0
174	24	study_trial	1	jewelry store	n/a	0	n/a	0	0
204	24	study_trial	2	car	n/a	0	n/a	0	0
234	0	catch_trial	3	jewelry store	direction	52	right	2.5487	1
255	24	study_trial	3	jewelry store	n/a	0	n/a	0	0
