onset	duration	route_number	destination	pic_num	segment	response	response_time	response_type	hits
1	5.7724	7	mail box	74	1	mail box	5.7724	target	1
6.7724	1.7041	6	tree	14	1	mail box	1.7041	competitor	0
8.4765	3.184	5	mail box	94	2	tree	3.184	competitor	0
11.6605	4.056	8	tree	4	1	mail box	4.056	competitor	0
15.7165	1.384	6	tree	4	1	tree	1.384	target	1
17.1005	0.89591	5	mail box	4	1	tree	0.89591	competitor	0
17.9964	4.656	7	mail box	84	2	tree	4.656	competitor	0
22.6524	2.8239	8	tree	54	1	mail box	2.8239	competitor	0
25.4763	5.056	6	tree	84	2	mail box	5.056	competitor	0
30.5323	2.2159	7	mail box	24	1	mail box	2.2159	target	1
32.7482	2.9919	8	tree	94	2	tree	2.9919	target	1
35.7402	1.864	5	mail box	74	1	tree	1.864	competitor	0
37.6042	2.008	5	mail box	24	1	tree	2.008	competitor	0
39.6122	3.888	8	tree	84	2	tree	3.888	target	1
43.5002	3.4159	6	tree	24	1	tree	3.4159	target	1
46.9161	0.96799	7	mail box	64	1	mail box	0.96799	target	1
47.8841	2.576	5	mail box	44	1	mail box	2.576	target	1
50.4601	1.4479	7	mail box	4	1	mail box	1.4479	target	1
51.908	4.56	6	tree	74	1	mail box	4.56	competitor	0
56.468	4.92	8	tree	24	1	tree	4.92	target	1
61.3879	2.32	7	mail box	94	2	mail box	2.32	target	1
63.7079	3.968	5	mail box	64	1	mail box	3.968	target	1
67.6759	1.64	8	tree	64	1	mail box	1.64	competitor	0
69.3159	1.808	6	tree	44	1	mail box	1.808	competitor	0
71.1239	1.336	5	mail box	54	1	tree	1.336	competitor	0
72.4599	2.9359	8	tree	74	1	tree	2.9359	target	1
75.3958	1.1759	7	mail box	44	1	mail box	1.1759	target	1
76.5717	2.1039	6	tree	94	2	mail box	2.1039	competitor	0
78.6756	1.1279	7	mail box	54	1	mail box	1.1279	target	1
79.8035	1.992	6	tree	34	1	tree	1.992	target	1
81.7956	2.816	5	mail box	84	2	mail box	2.816	target	1
84.6116	8.8399	8	tree	14	1	mail box	8.8399	competitor	0
93.4515	2.88	8	tree	34	1	mail box	2.88	competitor	0
96.3315	3.128	5	mail box	14	1	tree	3.128	competitor	0
99.4594	1.4639	7	mail box	34	1	mail box	1.4639	target	1
100.9234	1.2158	6	tree	54	1	tree	1.2158	target	1
102.1392	0.68794	7	mail box	14	1	tree	0.68794	competitor	0
102.8272	0.92791	8	tree	44	1	mail box	0.92791	competitor	0
103.7551	1.8881	6	tree	64	1	tree	1.8881	target	1
105.6432	4.2241	5	mail box	34	1	tree	4.2241	competitor	0
