onset	duration	route_number	destination	pic_num	segment	response	response_time	response_type	hits
1	4.9867	2	car	24	1	car	4.9867	target	1
5.9867	11.376	4	car	54	1	car	11.376	target	1
17.3627	1.9439	1	jewelry store	24	1	jewelry store	1.9439	target	1
19.3066	4.768	3	jewelry store	34	1	car	4.768	competitor	0
24.0745	11.1919	4	car	84	1	car	11.1919	target	1
35.2665	6.5441	3	jewelry store	64	1	jewelry store	6.5441	target	1
41.8105	1.848	1	jewelry store	44	1	jewelry store	1.848	target	1
43.6585	6.08	2	car	4	1	car	6.08	target	1
49.7385	2.376	4	car	44	1	car	2.376	target	1
52.1145	2.272	1	jewelry store	94	2	jewelry store	2.272	target	1
54.3865	2.1039	3	jewelry store	44	1	jewelry store	2.1039	target	1
56.4903	3.872	2	car	14	1	car	3.872	target	1
60.3623	3.816	3	jewelry store	14	1	jewelry store	3.816	target	1
64.1783	3.832	2	car	44	1	car	3.832	target	1
68.0102	2.32	1	jewelry store	14	1	car	2.32	competitor	0
70.3302	6.328	4	car	34	1	car	6.328	target	1
76.6582	1.4001	2	car	94	2	car	1.4001	target	1
78.0583	2.1999	3	jewelry store	54	1	jewelry store	2.1999	target	1
80.2582	2.44	1	jewelry store	54	1	jewelry store	2.44	target	1
82.6982	3.0559	4	car	74	1	car	3.0559	target	1
85.7541	4.624	3	jewelry store	84	1	car	4.624	competitor	0
90.3781	2.776	2	car	64	1	jewelry store	2.776	competitor	0
93.154	1.712	4	car	14	1	car	1.712	target	1
94.866	2.5521	1	jewelry store	74	1	jewelry store	2.5521	target	1
97.418	2.7679	2	car	54	1	jewelry store	2.7679	competitor	0
100.1859	5.6559	1	jewelry store	34	1	jewelry store	5.6559	target	1
105.8419	2.1358	4	car	94	2	car	2.1358	target	1
107.9777	1.688	3	jewelry store	74	1	car	1.688	competitor	0
109.6657	4.2799	3	jewelry store	94	2	jewelry store	4.2799	target	1
113.9457	1.248	2	car	34	1	car	1.248	target	1
115.1937	2.464	1	jewelry store	64	1	car	2.464	competitor	0
117.6577	2.792	4	car	64	1	car	2.792	target	1
120.4497	1.2401	1	jewelry store	84	1	jewelry store	1.2401	target	1
121.6897	1.304	2	car	84	1	car	1.304	target	1
122.9937	1.8719	3	jewelry store	4	1	jewelry store	1.8719	target	1
124.8657	2.424	4	car	4	1	car	2.424	target	1
127.2897	2.6799	3	jewelry store	24	1	jewelry store	2.6799	target	1
129.9696	2.096	4	car	24	1	jewelry store	2.096	competitor	0
132.0656	2.064	1	jewelry store	4	1	jewelry store	2.064	target	1
134.1296	1.168	2	car	74	1	car	1.168	target	1
