onset	duration	route_number	destination	pic_num	segment	response	response_time	response_type	hits
1	7.5562	6	door	44	1	door	7.5562	target	1
8.5562	2.3738	7	bank	54	1	bank	2.3738	target	1
10.93	3.7237	5	truck	44	1	truck	3.7237	target	1
14.6537	2.0027	8	subway	54	1	subway	2.0027	target	1
16.6564	8.3139	5	truck	4	1	truck	8.3139	target	1
24.9702	5.9415	8	subway	44	1	bank	5.9415	other	0
30.9117	13.1728	7	bank	34	1	bank	13.1728	target	1
44.0845	2.8012	6	door	4	1	door	2.8012	target	1
46.8858	1.8337	8	subway	94	2	subway	1.8337	target	1
48.7195	1.5187	6	door	54	1	door	1.5187	target	1
50.2381	1.575	7	bank	84	2	bank	1.575	target	1
51.8131	5.524	5	truck	74	1	door	5.524	other	0
57.3371	2.8124	8	subway	74	2	subway	2.8124	target	1
60.1495	3.7126	6	door	24	1	door	3.7126	target	1
63.8621	1.7551	7	bank	14	1	bank	1.7551	target	1
65.6172	1.9351	5	truck	14	1	truck	1.9351	target	1
67.5523	1.3612	6	door	64	1	door	1.3612	target	1
68.9135	1.8336	5	truck	84	2	truck	1.8336	target	1
70.7471	1.3051	8	subway	84	2	subway	1.3051	target	1
72.0522	4.084	7	bank	94	2	bank	4.084	target	1
76.1362	1.5975	6	door	84	2	door	1.5975	target	1
77.7337	1.5414	7	bank	24	1	bank	1.5414	target	1
79.2751	4.6576	8	subway	4	1	subway	4.6576	target	1
83.9327	5.3664	5	truck	24	1	door	5.3664	other	0
89.2991	1.7324	5	truck	64	1	truck	1.7324	target	1
91.0316	1.4287	6	door	94	2	door	1.4287	target	1
92.4603	1.8226	7	bank	74	2	bank	1.8226	target	1
94.2829	1.7775	8	subway	64	1	subway	1.7775	target	1
96.0604	1.7324	5	truck	94	2	truck	1.7324	target	1
97.7928	3.3639	7	bank	44	1	bank	3.3639	target	1
101.1567	6.2327	8	subway	34	1	subway	6.2327	target	1
107.3894	7.1327	6	door	34	1	door	7.1327	target	1
114.5221	4.2975	8	subway	14	1	subway	4.2975	target	1
118.8197	1.6312	7	bank	64	1	bank	1.6312	target	1
120.4509	1.9125	5	truck	54	1	truck	1.9125	target	1
122.3634	2.25	6	door	14	1	door	2.25	target	1
124.6134	5.04	7	bank	4	1	bank	5.04	target	1
129.6534	6.2101	6	door	74	1	truck	6.2101	other	0
135.8635	5.1862	8	subway	24	1	subway	5.1862	target	1
141.0497	4.5002	5	truck	34	1	truck	4.5002	target	1
