onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	0	catch_trial	3	car	direction	13	left	1.3207	1
21	24	study_trial	1	nail salon	n/a	0	n/a	0	0
51	24	study_trial	4	call box	n/a	0	n/a	0	0
81	24	study_trial	3	car	n/a	0	n/a	0	0
111	24	study_trial	3	car	n/a	0	n/a	0	0
141	24	study_trial	2	restaurant	n/a	0	n/a	0	0
171	24	study_trial	2	restaurant	n/a	0	n/a	0	0
201	24	study_trial	1	nail salon	n/a	0	n/a	0	0
231	24	study_trial	4	call box	n/a	0	n/a	0	0
261	0	catch_trial	4	call box	destination	65	car	1.8098	0
