onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	0	catch_trial	3	car	destination	46	call box	1.2172	0
28.5	24	study_trial	1	nail salon	n/a	0	n/a	0	0
58.5	24	study_trial	2	restaurant	n/a	0	n/a	0	0
88.5	24	study_trial	4	call box	n/a	0	n/a	0	0
118.5	24	study_trial	2	restaurant	n/a	0	n/a	0	0
148.5	24	study_trial	1	nail salon	n/a	0	n/a	0	0
178.5	24	study_trial	3	car	n/a	0	n/a	0	0
208.5	24	study_trial	3	car	n/a	0	n/a	0	0
238.5	0	catch_trial	4	call box	destination	33	car	1.6578	0
255	24	study_trial	4	call box	n/a	0	n/a	0	0
