onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	0	catch_trial	7	mail box	direction	65	left	2.2863	0
33	24	study_trial	7	mail box	n/a	0	n/a	0	0
63	24	study_trial	5	mail box	n/a	0	n/a	0	0
93	24	study_trial	8	tree	n/a	0	n/a	0	0
123	24	study_trial	5	mail box	n/a	0	n/a	0	0
153	24	study_trial	7	mail box	n/a	0	n/a	0	0
183	24	study_trial	8	tree	n/a	0	n/a	0	0
213	24	study_trial	6	tree	n/a	0	n/a	0	0
243	0	catch_trial	6	tree	direction	13	left	2.5391	1
255	24	study_trial	6	tree	n/a	0	n/a	0	0
