onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	8	subway	n/a	0	n/a	0	0
39	24	study_trial	7	bank	n/a	0	n/a	0	0
69	24	study_trial	8	subway	n/a	0	n/a	0	0
99	24	study_trial	7	bank	n/a	0	n/a	0	0
129	0	catch_trial	8	subway	destination	39	subway	2.7046	1
147	24	study_trial	5	truck	n/a	0	n/a	0	0
177	24	study_trial	6	door	n/a	0	n/a	0	0
207	24	study_trial	6	door	n/a	0	n/a	0	0
237	0	catch_trial	8	subway	destination	39	subway	2.9876	1
255	24	study_trial	5	truck	n/a	0	n/a	0	0
