onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	0	catch_trial	6	door	direction	26	right	1.6271	1
24	24	study_trial	6	door	n/a	0	n/a	0	0
54	24	study_trial	8	subway	n/a	0	n/a	0	0
84	24	study_trial	8	subway	n/a	0	n/a	0	0
114	24	study_trial	5	truck	n/a	0	n/a	0	0
144	24	study_trial	5	truck	n/a	0	n/a	0	0
174	24	study_trial	6	door	n/a	0	n/a	0	0
204	0	catch_trial	7	bank	direction	52	right	1.5342	1
225	24	study_trial	7	bank	n/a	0	n/a	0	0
255	24	study_trial	7	bank	n/a	0	n/a	0	0
