onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	2	restaurant	n/a	0	n/a	0	0
39	24	study_trial	4	call box	n/a	0	n/a	0	0
69	0	catch_trial	4	call box	destination	39	restaurant	2.0265	0
87	24	study_trial	1	nail salon	n/a	0	n/a	0	0
117	24	study_trial	1	nail salon	n/a	0	n/a	0	0
147	24	study_trial	3	car	n/a	0	n/a	0	0
177	24	study_trial	2	restaurant	n/a	0	n/a	0	0
207	24	study_trial	4	call box	n/a	0	n/a	0	0
237	0	catch_trial	2	restaurant	destination	39	restaurant	2.3325	1
255	24	study_trial	3	car	n/a	0	n/a	0	0
