onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	0	catch_trial	7	mail box	direction	52	right	1.1535	1
30	24	study_trial	8	tree	n/a	0	n/a	0	0
60	24	study_trial	6	tree	n/a	0	n/a	0	0
90	24	study_trial	7	mail box	n/a	0	n/a	0	0
120	24	study_trial	5	mail box	n/a	0	n/a	0	0
150	24	study_trial	6	tree	n/a	0	n/a	0	0
180	24	study_trial	5	mail box	n/a	0	n/a	0	0
210	0	catch_trial	5	mail box	destination	26	mail box	1.662	0
225	24	study_trial	7	mail box	n/a	0	n/a	0	0
255	24	study_trial	8	tree	n/a	0	n/a	0	0
