onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	6	tree	n/a	0	n/a	0	0
39	24	study_trial	6	tree	n/a	0	n/a	0	0
69	0	catch_trial	6	tree	destination	46	mail box	1.6716	0
88.5	24	study_trial	5	mail box	n/a	0	n/a	0	0
118.5	24	study_trial	5	mail box	n/a	0	n/a	0	0
148.5	24	study_trial	8	tree	n/a	0	n/a	0	0
178.5	24	study_trial	7	mail box	n/a	0	n/a	0	0
208.5	0	catch_trial	6	tree	destination	33	mail box	1.6053	0
225	24	study_trial	8	tree	n/a	0	n/a	0	0
255	24	study_trial	7	mail box	n/a	0	n/a	0	0
