onset	duration	route_number	destination	pic_num	segment	response	response_time	response_type	hits
1	11.9756	5	truck	64	1	truck	11.9756	target	1
12.9756	4.1947	7	bank	54	1	subway	4.1947	other	0
17.1703	6.9839	8	subway	14	1	subway	6.9839	target	1
24.1542	3.3919	6	door	74	1	bank	3.3919	other	0
27.5461	6.9039	5	truck	54	1	truck	6.9039	target	1
34.45	2.88	6	door	84	2	door	2.88	target	1
37.33	4.7841	7	bank	4	1	door	4.7841	other	0
42.1141	12.4241	8	subway	44	1	subway	12.4241	target	1
54.5381	2.968	6	door	4	1	door	2.968	target	1
57.5061	8.9679	5	truck	94	2	truck	8.9679	target	1
66.474	2.344	8	subway	94	2	subway	2.344	target	1
68.818	2.6401	7	bank	64	1	bank	2.6401	target	1
71.4581	6.1839	6	door	54	1	truck	6.1839	other	0
77.6421	5.0641	5	truck	84	2	truck	5.0641	target	1
82.7061	2.3121	8	subway	54	1	subway	2.3121	target	1
85.0182	5.152	7	bank	44	1	subway	5.152	other	0
90.1702	1.9119	5	truck	74	1	truck	1.9119	target	1
92.0821	1.4158	6	door	94	2	door	1.4158	target	1
93.4979	1.3599	8	subway	74	2	subway	1.3599	target	1
94.8579	5.504	7	bank	34	1	truck	5.504	other	0
100.3619	5.432	7	bank	14	1	bank	5.432	target	1
105.7938	7.704	5	truck	14	1	door	7.704	other	0
113.4978	2.8	6	door	24	1	door	2.8	target	1
116.2979	1.3438	8	subway	84	2	subway	1.3438	target	1
117.6417	9.8001	7	bank	94	2	bank	9.8001	target	1
127.4418	2.696	6	door	34	1	bank	2.696	other	0
130.1377	6.7519	5	truck	44	1	truck	6.7519	target	1
136.8897	4.1599	8	subway	34	1	door	4.1599	other	0
141.0496	1.408	8	subway	64	1	subway	1.408	target	1
142.4576	3.2559	6	door	44	1	door	3.2559	target	1
145.7135	3.8559	5	truck	24	1	bank	3.8559	other	0
149.5693	1.7677	7	bank	84	2	bank	1.7677	target	1
151.3371	2.8799	5	truck	4	1	door	2.8799	other	0
154.2169	4.656	6	door	64	1	truck	4.656	other	0
158.8729	2.1759	8	subway	4	1	subway	2.1759	target	1
161.0488	2.288	7	bank	24	1	bank	2.288	target	1
163.3368	3.832	7	bank	74	2	bank	3.832	target	1
167.1688	2.2561	8	subway	24	1	bank	2.2561	other	0
169.4249	4.4239	5	truck	34	1	door	4.4239	other	0
173.8488	2.736	6	door	14	1	door	2.736	target	1
