onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	0	catch_trial	8	tree	direction	65	left	1.5974	1
33	24	study_trial	7	mail box	n/a	0	n/a	0	0
63	24	study_trial	7	mail box	n/a	0	n/a	0	0
93	24	study_trial	6	tree	n/a	0	n/a	0	0
123	24	study_trial	5	mail box	n/a	0	n/a	0	0
153	0	catch_trial	6	tree	destination	13	tree	1.0004	1
165	24	study_trial	6	tree	n/a	0	n/a	0	0
195	24	study_trial	8	tree	n/a	0	n/a	0	0
225	24	study_trial	8	tree	n/a	0	n/a	0	0
255	24	study_trial	5	mail box	n/a	0	n/a	0	0
