onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	0	catch_trial	8	tree	destination	39	tree	1.6321	0
27	24	study_trial	7	mail box	n/a	0	n/a	0	0
57	24	study_trial	5	mail box	n/a	0	n/a	0	0
87	24	study_trial	6	tree	n/a	0	n/a	0	0
117	24	study_trial	6	tree	n/a	0	n/a	0	0
147	0	catch_trial	6	tree	destination	39	tree	1.3858	1
165	24	study_trial	5	mail box	n/a	0	n/a	0	0
195	24	study_trial	7	mail box	n/a	0	n/a	0	0
225	24	study_trial	8	tree	n/a	0	n/a	0	0
255	24	study_trial	8	tree	n/a	0	n/a	0	0
