onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	6	tree	n/a	0	n/a	0	0
39	24	study_trial	7	mail box	n/a	0	n/a	0	0
69	24	study_trial	8	tree	n/a	0	n/a	0	0
99	0	catch_trial	6	tree	destination	33	tree	1.4479	1
115.5	24	study_trial	7	mail box	n/a	0	n/a	0	0
145.5	24	study_trial	6	tree	n/a	0	n/a	0	0
175.5	24	study_trial	5	mail box	n/a	0	n/a	0	0
205.5	24	study_trial	5	mail box	n/a	0	n/a	0	0
235.5	24	study_trial	8	tree	n/a	0	n/a	0	0
265.5	0	catch_trial	7	mail box	destination	46	mail box	1.3104	1
