onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	6	tree	n/a	0	n/a	0	0
39	24	study_trial	7	mail box	n/a	0	n/a	0	0
69	24	study_trial	5	mail box	n/a	0	n/a	0	0
99	24	study_trial	5	mail box	n/a	0	n/a	0	0
129	0	catch_trial	7	mail box	destination	26	mail box	0.92298	1
144	24	study_trial	6	tree	n/a	0	n/a	0	0
174	24	study_trial	7	mail box	n/a	0	n/a	0	0
204	24	study_trial	8	tree	n/a	0	n/a	0	0
234	0	catch_trial	7	mail box	destination	52	mail box	1.1745	1
255	24	study_trial	8	tree	n/a	0	n/a	0	0
