onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	4	car	n/a	0	n/a	0	0
39	24	study_trial	2	car	n/a	0	n/a	0	0
69	24	study_trial	1	jewelry store	n/a	0	n/a	0	0
99	24	study_trial	1	jewelry store	n/a	0	n/a	0	0
129	24	study_trial	3	jewelry store	n/a	0	n/a	0	0
159	0	catch_trial	3	jewelry store	direction	13	right	2.3023	1
171	24	study_trial	2	car	n/a	0	n/a	0	0
201	24	study_trial	3	jewelry store	n/a	0	n/a	0	0
231	0	catch_trial	2	car	direction	65	left	1.1968	1
255	24	study_trial	4	car	n/a	0	n/a	0	0
