onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	4	car	n/a	0	n/a	0	0
39	24	study_trial	3	jewelry store	n/a	0	n/a	0	0
69	24	study_trial	2	car	n/a	0	n/a	0	0
99	0	catch_trial	4	car	destination	39	car	1.9757	1
117	24	study_trial	1	jewelry store	n/a	0	n/a	0	0
147	24	study_trial	2	car	n/a	0	n/a	0	0
177	24	study_trial	1	jewelry store	n/a	0	n/a	0	0
207	24	study_trial	3	jewelry store	n/a	0	n/a	0	0
237	24	study_trial	4	car	n/a	0	n/a	0	0
267	0	catch_trial	1	jewelry store	destination	39	jewelry store	2.0367	1
