onset	duration	route_number	destination	pic_num	segment	response	response_time	response_type	hits
1	9.3733	5	truck	54	1	truck	9.3733	target	1
10.3733	8.2464	7	bank	84	2	bank	8.2464	target	1
18.6197	5.5575	8	subway	4	1	subway	5.5575	target	1
24.1772	3.8587	6	door	74	1	truck	3.8587	other	0
28.0359	3.4764	5	truck	4	1	door	3.4764	other	0
31.5123	5.1189	6	door	84	2	bank	5.1189	other	0
36.6312	4.0389	7	bank	4	1	subway	4.0389	other	0
40.6701	5.4901	8	subway	94	2	subway	5.4901	target	1
46.1602	4.6915	6	door	4	1	door	4.6915	target	1
50.8517	4.7926	8	subway	74	2	door	4.7926	other	0
55.6443	2.9925	5	truck	84	2	truck	2.9925	target	1
58.6368	7.9989	7	bank	34	1	subway	7.9989	other	0
66.6358	1.7211	8	subway	54	1	subway	1.7211	target	1
68.3569	4.7027	7	bank	44	1	door	4.7027	other	0
73.0596	3.1162	5	truck	24	1	door	3.1162	other	0
76.1758	3.2738	6	door	14	1	door	3.2738	target	1
79.4496	6.7052	5	truck	74	1	bank	6.7052	other	0
86.1548	3.51	8	subway	14	1	bank	3.51	other	0
89.6648	2.5426	7	bank	64	1	subway	2.5426	other	0
92.2074	4.7925	6	door	24	1	truck	4.7925	other	0
96.9999	5.9626	8	subway	24	1	truck	5.9626	other	0
102.9625	10.8002	7	bank	74	2	subway	10.8002	other	0
113.7628	6.2438	5	truck	64	1	door	6.2438	other	0
120.0066	6.5702	6	door	54	1	door	6.5702	target	1
126.5768	1.125	6	door	64	1	door	1.125	target	1
127.7018	5.1526	7	bank	54	1	bank	5.1526	target	1
132.8545	2.7224	5	truck	94	2	bank	2.7224	other	0
135.5769	4.5339	8	subway	34	1	truck	4.5339	other	0
140.1108	2.1601	8	subway	84	2	subway	2.1601	target	1
142.2709	9.4277	6	door	34	1	door	9.4277	target	1
151.6986	6.2551	5	truck	44	1	truck	6.2551	target	1
157.9537	8.7751	7	bank	94	2	bank	8.7751	target	1
166.7288	7.3127	7	bank	14	1	bank	7.3127	target	1
174.0414	11.059	5	truck	14	1	truck	11.059	target	1
185.1004	1.9237	8	subway	64	1	subway	1.9237	target	1
187.0242	1.6087	6	door	94	2	door	1.6087	target	1
188.6329	2.6102	6	door	44	1	door	2.6102	target	1
191.2431	4.3539	8	subway	44	1	bank	4.3539	other	0
195.5969	4.4775	5	truck	34	1	door	4.4775	other	0
200.0745	3.6674	7	bank	24	1	truck	3.6674	other	0
