onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	7	bank	n/a	0	n/a	0	0
39	24	study_trial	8	subway	n/a	0	n/a	0	0
69	24	study_trial	5	truck	n/a	0	n/a	0	0
99	0	catch_trial	8	subway	direction	33	right	1.6977	1
115.5	24	study_trial	6	door	n/a	0	n/a	0	0
145.5	24	study_trial	8	subway	n/a	0	n/a	0	0
175.5	24	study_trial	6	door	n/a	0	n/a	0	0
205.5	0	catch_trial	8	subway	destination	46	subway	2.1709	1
225	24	study_trial	5	truck	n/a	0	n/a	0	0
255	24	study_trial	7	bank	n/a	0	n/a	0	0
