onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	6	door	n/a	0	n/a	0	0
39	24	study_trial	6	door	n/a	0	n/a	0	0
69	24	study_trial	5	truck	n/a	0	n/a	0	0
99	24	study_trial	5	truck	n/a	0	n/a	0	0
129	24	study_trial	7	bank	n/a	0	n/a	0	0
159	0	catch_trial	5	truck	destination	39	truck	1.2738	1
177	24	study_trial	8	subway	n/a	0	n/a	0	0
207	24	study_trial	7	bank	n/a	0	n/a	0	0
237	24	study_trial	8	subway	n/a	0	n/a	0	0
267	0	catch_trial	8	subway	direction	39	left	1.8904	1
