onset	duration	route_number	destination	pic_num	segment	response	response_time	response_type	hits
1	27.7894	4	call box	14	1	nail salon	27.7894	other	0
28.7894	5.4453	1	nail salon	14	1	nail salon	5.4453	target	1
34.2348	5.4563	2	restaurant	34	1	restaurant	5.4563	target	1
39.691	5.9739	3	car	74	1	car	5.9739	target	1
45.665	6.4576	2	restaurant	4	1	nail salon	6.4576	other	0
52.1225	1.755	3	car	84	2	car	1.755	target	1
53.8775	2.9587	4	call box	4	1	call box	2.9587	target	1
56.8363	12.0153	1	nail salon	54	1	restaurant	12.0153	other	0
68.8516	8.7756	3	car	24	1	car	8.7756	target	1
77.6271	3.1501	4	call box	74	1	call box	3.1501	target	1
80.7772	6.345	2	restaurant	14	1	restaurant	6.345	target	1
87.1223	7.0876	1	nail salon	84	2	nail salon	7.0876	target	1
94.2099	2.0588	3	car	94	2	car	2.0588	target	1
96.2688	1.5974	1	nail salon	94	2	nail salon	1.5974	target	1
97.8662	1.3275	2	restaurant	94	2	restaurant	1.3275	target	1
99.1937	3.6338	4	call box	64	1	call box	3.6338	target	1
102.8274	7.6388	1	nail salon	24	1	restaurant	7.6388	other	0
110.4662	2.9588	4	call box	54	1	call box	2.9588	target	1
113.425	7.6277	3	car	54	1	car	7.6277	target	1
121.0527	8.5501	2	restaurant	64	1	nail salon	8.5501	other	0
129.6029	3.15	3	car	34	1	car	3.15	target	1
132.7529	3.5663	1	nail salon	34	1	nail salon	3.5663	target	1
136.3192	2.7114	2	restaurant	84	2	restaurant	2.7114	target	1
139.0306	2.6101	4	call box	24	1	car	2.6101	other	0
141.6407	1.8338	4	call box	84	2	call box	1.8338	target	1
143.4745	6.0976	2	restaurant	24	1	restaurant	6.0976	target	1
149.5721	4.365	1	nail salon	64	1	restaurant	4.365	other	0
153.9371	4.5675	3	car	4	1	car	4.5675	target	1
158.5046	6.1651	2	restaurant	54	1	restaurant	6.1651	target	1
164.6697	1.6312	3	car	44	1	car	1.6312	target	1
166.3008	1.6537	4	call box	94	2	call box	1.6537	target	1
167.9545	5.1076	1	nail salon	44	1	restaurant	5.1076	other	0
173.0621	2.4525	2	restaurant	44	1	restaurant	2.4525	target	1
175.5146	1.665	3	car	64	1	car	1.665	target	1
177.1796	1.935	4	call box	44	1	call box	1.935	target	1
179.1146	4.8376	1	nail salon	74	1	restaurant	4.8376	other	0
183.9522	5.0513	1	nail salon	4	1	restaurant	5.0513	other	0
189.0036	2.7	4	call box	34	1	call box	2.7	target	1
191.7036	12.1841	3	car	14	1	nail salon	12.1841	other	0
203.8877	3.96	2	restaurant	74	1	restaurant	3.96	target	1
