onset	duration	route_number	destination	pic_num	segment	response	response_time	response_type	hits
1	6.2934	7	mail box	4	1	mail box	6.2934	target	1
7.2934	5.1519	6	tree	14	1	tree	5.1519	target	1
12.4454	8.968	5	mail box	34	1	mail box	8.968	target	1
21.4133	7.592	8	tree	64	1	tree	7.592	target	1
29.0053	3.7679	6	tree	94	2	tree	3.7679	target	1
32.7732	1.9119	5	mail box	14	1	mail box	1.9119	target	1
34.6851	7.6639	8	tree	84	2	tree	7.6639	target	1
42.3491	13.744	7	mail box	74	1	mail box	13.744	target	1
56.0931	3.384	5	mail box	84	2	mail box	3.384	target	1
59.4771	11.752	7	mail box	34	1	mail box	11.752	target	1
71.229	5.44	6	tree	34	1	tree	5.44	target	1
76.6691	14.0239	8	tree	94	2	tree	14.0239	target	1
90.693	4.6799	8	tree	44	1	tree	4.6799	target	1
95.373	3.584	7	mail box	44	1	mail box	3.584	target	1
98.9569	9.36	6	tree	54	1	mail box	9.36	competitor	0
108.3169	3.6479	5	mail box	4	1	mail box	3.6479	target	1
111.9648	13.4961	5	mail box	44	1	mail box	13.4961	target	1
125.4609	6.328	7	mail box	14	1	mail box	6.328	target	1
131.7889	3.616	8	tree	4	1	tree	3.616	target	1
135.4049	4.1519	6	tree	84	2	tree	4.1519	target	1
139.5568	7.8399	7	mail box	64	1	mail box	7.8399	target	1
147.3967	7.088	5	mail box	24	1	mail box	7.088	target	1
154.4846	8.1039	8	tree	54	1	mail box	8.1039	competitor	0
162.5886	4.48	6	tree	74	1	tree	4.48	target	1
167.0685	3.8561	6	tree	64	1	mail box	3.8561	competitor	0
170.9246	2.1279	5	mail box	74	1	mail box	2.1279	target	1
173.0525	5.656	8	tree	74	1	tree	5.656	target	1
178.7084	1.6959	7	mail box	94	2	mail box	1.6959	target	1
180.4043	10.1279	8	tree	24	1	tree	10.1279	target	1
190.5322	8.408	5	mail box	54	1	mail box	8.408	target	1
198.9403	2.0081	6	tree	4	1	tree	2.0081	target	1
200.9484	12.3199	7	mail box	24	1	tree	12.3199	competitor	0
213.2683	2.952	5	mail box	64	1	mail box	2.952	target	1
216.2203	4.2879	7	mail box	84	2	mail box	4.2879	target	1
220.5082	5.216	8	tree	14	1	tree	5.216	target	1
225.7242	9.2239	6	tree	24	1	mail box	9.2239	competitor	0
234.9481	2.608	5	mail box	94	2	mail box	2.608	target	1
237.5562	4.496	7	mail box	54	1	mail box	4.496	target	1
242.0521	2.7439	6	tree	44	1	tree	2.7439	target	1
244.796	6.456	8	tree	34	1	tree	6.456	target	1
