onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	4	car	n/a	0	n/a	0	0
39	0	catch_trial	2	car	direction	39	left	1.848	1
57	24	study_trial	3	jewelry store	n/a	0	n/a	0	0
87	24	study_trial	2	car	n/a	0	n/a	0	0
117	24	study_trial	2	car	n/a	0	n/a	0	0
147	24	study_trial	4	car	n/a	0	n/a	0	0
177	24	study_trial	3	jewelry store	n/a	0	n/a	0	0
207	24	study_trial	1	jewelry store	n/a	0	n/a	0	0
237	0	catch_trial	4	car	direction	39	right	1.4853	1
255	24	study_trial	1	jewelry store	n/a	0	n/a	0	0
