onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	0	catch_trial	8	subway	direction	39	right	2.7546	0
27	24	study_trial	5	truck	n/a	0	n/a	0	0
57	24	study_trial	6	door	n/a	0	n/a	0	0
87	24	study_trial	6	door	n/a	0	n/a	0	0
117	24	study_trial	8	subway	n/a	0	n/a	0	0
147	24	study_trial	5	truck	n/a	0	n/a	0	0
177	24	study_trial	8	subway	n/a	0	n/a	0	0
207	0	catch_trial	8	subway	direction	39	right	2.4496	0
225	24	study_trial	7	bank	n/a	0	n/a	0	0
255	24	study_trial	7	bank	n/a	0	n/a	0	0
