onset	duration	route_number	destination	pic_num	segment	response	response_time	response_type	hits
1	12.0486	1	jewelry store	34	1	jewelry store	12.0486	target	1
13.0486	11.696	2	car	94	2	car	11.696	target	1
24.7445	2.72	4	car	34	1	car	2.72	target	1
27.4645	4.232	3	jewelry store	24	1	car	4.232	competitor	0
31.6965	4.9681	1	jewelry store	44	1	jewelry store	4.9681	target	1
36.6645	7.6799	4	car	14	1	car	7.6799	target	1
44.3444	7.5599	2	car	74	1	jewelry store	7.5599	competitor	0
51.9044	8.064	3	jewelry store	34	1	jewelry store	8.064	target	1
59.9684	10.944	3	jewelry store	84	1	car	10.944	competitor	0
70.9124	3.128	1	jewelry store	94	2	car	3.128	competitor	0
74.0403	6.072	4	car	74	1	car	6.072	target	1
80.1123	1.504	2	car	24	1	car	1.504	target	1
81.6163	3.3521	3	jewelry store	44	1	jewelry store	3.3521	target	1
84.9684	3.04	1	jewelry store	74	1	jewelry store	3.04	target	1
88.0083	4.1678	4	car	44	1	car	4.1678	target	1
92.1761	7.296	2	car	54	1	jewelry store	7.296	competitor	0
99.4721	1.4961	4	car	84	1	jewelry store	1.4961	competitor	0
100.9682	1.3039	1	jewelry store	54	1	car	1.3039	competitor	0
102.2722	0.90402	2	car	34	1	car	0.90402	target	1
103.1762	7.752	3	jewelry store	4	1	car	7.752	competitor	0
110.9281	1.2479	2	car	4	1	car	1.2479	target	1
112.1761	7.4	4	car	54	1	car	7.4	target	1
119.576	6.992	1	jewelry store	24	1	jewelry store	6.992	target	1
126.5681	5.656	3	jewelry store	14	1	jewelry store	5.656	target	1
132.2241	7.1679	2	car	84	1	car	7.1679	target	1
139.392	1.8159	1	jewelry store	84	1	jewelry store	1.8159	target	1
141.2079	1.368	3	jewelry store	54	1	car	1.368	competitor	0
142.576	7.7359	4	car	64	1	car	7.7359	target	1
150.3119	4.84	3	jewelry store	94	2	jewelry store	4.84	target	1
155.1519	11.8239	2	car	44	1	jewelry store	11.8239	competitor	0
166.9758	5.12	4	car	4	1	car	5.12	target	1
172.0958	1.848	1	jewelry store	4	1	jewelry store	1.848	target	1
173.9438	5.4959	1	jewelry store	14	1	car	5.4959	competitor	0
179.4397	1.784	2	car	14	1	jewelry store	1.784	competitor	0
181.2237	5.264	3	jewelry store	74	1	jewelry store	5.264	target	1
186.4876	11.68	4	car	24	1	car	11.68	target	1
198.1676	7.4399	4	car	94	2	car	7.4399	target	1
205.6075	5.6879	2	car	64	1	jewelry store	5.6879	competitor	0
211.2955	5.5599	1	jewelry store	64	1	car	5.5599	competitor	0
216.8554	1.3519	3	jewelry store	64	1	car	1.3519	competitor	0
