onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	1	jewelry store	n/a	0	n/a	0	0
39	0	catch_trial	3	jewelry store	direction	46	right	1.1996	1
58.5	24	study_trial	1	jewelry store	n/a	0	n/a	0	0
88.5	24	study_trial	2	car	n/a	0	n/a	0	0
118.5	24	study_trial	4	car	n/a	0	n/a	0	0
148.5	24	study_trial	3	jewelry store	n/a	0	n/a	0	0
178.5	0	catch_trial	1	jewelry store	destination	33	jewelry store	1.4298	1
195	24	study_trial	4	car	n/a	0	n/a	0	0
225	24	study_trial	3	jewelry store	n/a	0	n/a	0	0
255	24	study_trial	2	car	n/a	0	n/a	0	0
