onset	duration	route_number	destination	pic_num	segment	response	response_time	response_type	hits
1	13.544	7	bank	54	1	bank	13.544	target	1
14.544	4.78	5	truck	64	1	truck	4.78	target	1
19.324	7.198	8	subway	44	1	bank	7.198	other	0
26.522	6.89	6	door	14	1	door	6.89	target	1
33.4121	3.2221	5	truck	94	2	truck	3.2221	target	1
36.6341	1.48	8	subway	84	2	subway	1.48	target	1
38.1141	2.0479	6	door	94	2	door	2.0479	target	1
40.1621	7.01	7	bank	24	1	subway	7.01	other	0
47.1721	4.1041	7	bank	74	2	bank	4.1041	target	1
51.2762	4.066	5	truck	54	1	truck	4.066	target	1
55.3422	2.2379	6	door	64	1	door	2.2379	target	1
57.5801	7.674	8	subway	24	1	bank	7.674	other	0
65.2542	2.974	5	truck	44	1	door	2.974	other	0
68.2281	5.098	6	door	74	1	door	5.098	target	1
73.3262	2.0301	7	bank	84	2	bank	2.0301	target	1
75.3562	1.654	8	subway	54	1	subway	1.654	target	1
77.0102	3.042	5	truck	34	1	door	3.042	other	0
80.0523	2.5321	7	bank	64	1	bank	2.5321	target	1
82.5844	6.0941	6	door	34	1	truck	6.0941	other	0
88.6785	6.8287	8	subway	74	2	bank	6.8287	other	0
95.5071	4.634	7	bank	14	1	bank	4.634	target	1
100.1412	2.3759	6	door	54	1	door	2.3759	target	1
102.5171	3.1119	8	subway	94	2	subway	3.1119	target	1
105.629	5.426	5	truck	84	2	truck	5.426	target	1
111.055	7.9786	7	bank	4	1	bank	7.9786	target	1
119.0336	2.4399	8	subway	64	1	subway	2.4399	target	1
121.4735	9.2161	5	truck	4	1	truck	9.2161	target	1
130.6896	4.398	6	door	24	1	door	4.398	target	1
135.0875	3.0499	6	door	4	1	door	3.0499	target	1
138.1374	3.284	5	truck	24	1	truck	3.284	target	1
141.4214	6.106	7	bank	34	1	bank	6.106	target	1
147.5274	9.536	8	subway	4	1	bank	9.536	other	0
157.0634	1.818	8	subway	14	1	subway	1.818	target	1
158.8814	2.9079	5	truck	14	1	truck	2.9079	target	1
161.7893	5.5559	7	bank	94	2	bank	5.5559	target	1
167.3452	3.5799	6	door	44	1	truck	3.5799	other	0
170.9252	2.0419	8	subway	34	1	door	2.0419	other	0
172.9671	9.5207	7	bank	44	1	door	9.5207	other	0
182.4878	6.014	5	truck	74	1	truck	6.014	target	1
188.5018	3.6778	6	door	84	2	truck	3.6778	other	0
