onset	duration	route_number	destination	pic_num	segment	response	response_time	response_type	hits
1	9.7022	7	bank	44	1	subway	9.7022	other	0
10.7022	16.0654	8	subway	44	1	bank	16.0654	other	0
26.7675	11.464	5	truck	64	1	truck	11.464	target	1
38.2315	3.0152	6	door	64	1	door	3.0152	target	1
41.2467	7.6275	8	subway	74	2	subway	7.6275	target	1
48.8742	15.7629	6	door	4	1	door	15.7629	target	1
64.6372	3.6676	7	bank	74	2	bank	3.6676	target	1
68.3047	4.1065	5	truck	54	1	truck	4.1065	target	1
72.4112	8.1114	6	door	84	2	door	8.1114	target	1
80.5226	1.9239	8	subway	54	1	subway	1.9239	target	1
82.4465	2.205	7	bank	14	1	bank	2.205	target	1
84.6515	6.0526	5	truck	74	1	truck	6.0526	target	1
90.7041	18.1468	5	truck	24	1	truck	18.1468	target	1
108.8509	9.6864	7	bank	64	1	bank	9.6864	target	1
118.5373	25.8307	6	door	44	1	door	25.8307	target	1
144.368	0.89999	8	subway	64	1	subway	0.89999	target	1
145.268	10.6203	5	truck	44	1	door	10.6203	other	0
155.8883	8.6853	7	bank	4	1	bank	8.6853	target	1
164.5737	0.98991	8	subway	84	2	subway	0.98991	target	1
165.5636	18.8668	6	door	54	1	door	18.8668	target	1
184.4304	8.4715	6	door	24	1	truck	8.4715	other	0
192.9018	5.3325	5	truck	34	1	truck	5.3325	target	1
198.2343	2.3401	7	bank	54	1	bank	2.3401	target	1
200.5744	1.5863	8	subway	4	1	subway	1.5863	target	1
202.1607	4.3201	5	truck	14	1	truck	4.3201	target	1
206.4808	18.968	6	door	74	1	truck	18.968	other	0
225.4488	5.0739	7	bank	94	2	bank	5.0739	target	1
230.5228	9.4051	8	subway	14	1	subway	9.4051	target	1
239.9279	11.3402	8	subway	24	1	bank	11.3402	other	0
251.268	2.9699	6	door	94	2	door	2.9699	target	1
254.238	9.3153	5	truck	94	2	truck	9.3153	target	1
263.5532	24.1304	7	bank	24	1	bank	24.1304	target	1
287.6837	2.7001	6	door	14	1	door	2.7001	target	1
290.3838	9.0227	5	truck	4	1	truck	9.0227	target	1
299.4065	3.5886	8	subway	94	2	subway	3.5886	target	1
302.9951	56.7801	7	bank	34	1	bank	56.7801	target	1
359.7753	2.565	5	truck	84	2	truck	2.565	target	1
362.3402	5.6701	8	subway	34	1	subway	5.6701	target	1
368.0103	10.6877	6	door	34	1	door	10.6877	target	1
378.698	2.4751	7	bank	84	2	bank	2.4751	target	1
